Präfix;Land
3Z;Polen
4A–4C;Mexiko
4D–4I;Philippinen
4J–4K;Aserbaidschan
4L;Georgien
4M;Venezuela
4O;Montenegro
4P–4S;Sri Lanka
4T;Peru
4U;Vereinte Nationen
4V;Haiti
4W;Osttimor
4X;Israel
4Y;Internationale Zivilluftfahrtorganisation
4Z;Israel
5A;Libyen
5B;Republik Zypern
5C–5G;Marokko
5H–5I;Tansania
5J–5K;Kolumbien
5L–5M;Liberia
5N–5O;Nigeria
5P–5Q;Dänemark
5R–5S;Madagaskar
5T;Mauretanien
5U;Niger
5V;Togo
5W;Samoa
5X;Uganda
5Y–5Z;Kenia
6A–6B;Ägypten
6C;Syrien
6D–6J;Mexiko
6K–6N;Südkorea
6O;Somalia
6P–6S;Pakistan
6T–6U;Sudan
6V–6W;Senegal
6X;Madagaskar
6Y;Jamaika
6Z;Liberia
7A–7I;Indonesien
7J–7N;Japan
7O;Jemen
7P;Lesotho
7Q;Malawi
7R;Algerien
7S;Schweden
7T–7Y;Algerien
7Z;Saudi-Arabien
8A–8I;Indonesien
8J–8N;Japan
8O;Botswana
8P;Barbados
8Q;Malediven
8R;Guyana
8S;Schweden
8T–8Y;Indien
8Z;Saudi-Arabien
9A;Kroatien
9B–9D;Iran
9E–9F;Äthiopien
9G;Ghana
9H;Malta
9I–9J;Sambia
9K;Kuwait
9L;Sierra Leone
9M;Malaysia
9N;Nepal
9O–9T;Demokratische Republik Kongo
9U;Burundi
9V;Singapur
9W;Malaysia
9X;Ruanda
9Y–9Z;Trinidad und Tobago
